Observation,P0,P1
353,0.84,0.45
354,0.02,0.24
355,0.69,0.49
356,0.18,0.3
357,0.12,0.32
358,0.84,0.25
359,0.07,0.54
360,0.12,0.53
361,0.08,0.42
362,0.07,0.33
363,0.13,0.38
364,0.14,0.17
365,0.11,0.18
366,0.03,0.27
367,0.75,0.64
368,0.11,0.29
369,0.8,0.44
370,0.15,0.22
371,0.8,0.6
372,0.11,0.16
373,0.83,0.51
374,0.12,0.48
375,0.24,0.21
376,0.79,0.65
377,0.25,0.63
378,0.27,0.09
379,0.28,0.83
380,0.38,0.84
381,0.26,0.14
382,0.33,0.17
383,0.45,0.64
384,0.31,0.02
385,0.26,0.19
386,0.13,0.84
387,0.35,0.69
388,0.53,0.2
389,0.24,0.04
390,0.41,0.8
391,0.31,0.05
392,0.28,0.28
393,0.36,0.13
394,0.24,0.15
395,0.39,0.21
396,0.11,0.87
397,0.12,0.84
398,0.1,0.04
399,0.32,0.08
400,0.33,0.11
401,0.42,0.86
402,0.47,0.07
403,0.33,0.79
404,0.47,0.91
405,0.27,0.15
406,0.12,0.09
407,0.63,0.12
408,0.51,0.07
409,0.26,0.8
410,0.34,0.09
411,0.23,0.09
412,0.39,0.06
413,0.5,0.77
414,0.24,0.32
415,0.32,0.68
416,0.15,0.78
417,0.17,0.84
418,0.16,0.2
419,0.44,0.81
420,0.51,0.14
421,0.27,0.15
422,0.54,0.14
423,0.4,0.15
424,0.38,0.21
425,0.2,0.15
426,0.51,0.13
427,0.16,0.82
428,0.13,0.85
429,0.34,0.84
430,0.31,0.1
431,0.22,0.17
432,0.28,0.26
433,0.13,0.11
434,0.17,0.8
435,0.59,0.15
436,0.35,0.79
437,0.51,0.13
438,0.3,0.16
439,0.7,0.49
440,0.71,0.34
441,0.13,0.11
442,0.07,0.46
443,0.18,0.13
444,0.63,0.32
445,0.08,0.2
446,0.18,0.73
447,0.22,0.51
448,0.78,0.3
449,0.72,0.32
450,0.06,0.26
451,0.18,0.21
452,0.13,0.36
453,0.11,0.35
454,0.06,0.18
455,0.07,0.27
456,0.11,0.22
457,0.09,0.27
458,0.12,0.43
459,0.26,0.37
460,0.13,0.16
461,0.15,0.52
462,0.13,0.25
463,0.2,0.72
464,0.12,0.6
465,0.08,0.45
466,0.03,0.25
467,0.71,0.07
468,0.22,0.33
469,0.08,0.43
470,0.11,0.68
